agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
RMaxNFQAgent,sweep_c86,10,1.0,,,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,6.96673e-06,1.25989,63.0,111.0,,,1.0,1024,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,0,0,1000000,128,True,1
RMaxNFQAgent,sweep_c37,10,1.0,,,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,2.6002e-05,4.96426,6.0,268.0,,,1.0,2048,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,1,0,1000000,64,True,16
NFQAgent,sweep_c61,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,157531.0,0.010268,0.733115,,,0.0133724,2.15963,,155.0,,,,4096,FlatteningReplayBuffer,"(264,)",,0,0,100,128,1,1,0,1000000,128,True,1024
NFQAgent,sweep_c62,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,213496.0,0.0635581,0.972643,,,0.000866657,4.56128,,12.0,,,,2048,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,6,0,1000000,1,True,16
NFQAgent,sweep_c64,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,62962.0,0.0614114,0.483741,,,2.60559e-06,8.18769,,128.0,,,,4096,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,9,0,1000000,64,True,16
NFQAgent,sweep_c69,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,351752.0,0.124726,0.780408,,,0.13141,6.22917,,185.0,,,,1024,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,4,0,1000000,512,True,16
NFQAgent,sweep_c73,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,204605.0,0.0118454,0.710571,,,0.354086,0.982549,,44.0,,,,4096,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,2,0,1000000,1,True,8
NFQAgent,sweep_c75,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,177786.0,0.0504192,0.478327,,,0.000482568,4.35514,,23.0,,,,1024,FlatteningReplayBuffer,"(264,)",,0,0,100,32,1,3,0,1000000,32,True,16
NFQAgent,sweep_c76,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,357780.0,0.145218,0.398285,,,0.00731687,3.72141,,204.0,,,,8192,FlatteningReplayBuffer,"(264,)",,0,0,100,128,1,9,0,1000000,8,True,512
NFQAgent,sweep_c77,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,170307.0,0.14928,0.917983,,,4.01898e-06,8.27057,,167.0,,,,16384,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,7,0,1000000,256,True,8
