agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c0,10,0.5326615035533905,0.0197014589864314,0.006230148362551558,0.5093457698822021,0.5595238208770752,0.53125,0.5140463411808014,0.5476232618093491,DQNAgent,,0.99,136746.0,0.0418057,0.830568,,,0.096538,7.34032,,,16384.0,16384,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,0,0,1000000,23,True,512
DQNAgent,sweep_c55,10,0.5242474883794784,0.04071330131587105,0.01287467632228829,0.4626623392105102,0.574404776096344,0.5237015783786774,0.4889087900519371,0.5609835237264633,DQNAgent,,0.99,97492.0,0.086961,0.970704,,,0.340364,14.895,,,32768.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,8,0,1000000,11,True,8
DQNAgent,sweep_c8,10,0.3798778593540192,0.021651483511002313,0.006846800261634664,0.3425129055976867,0.4054514467716217,0.37877136468887324,0.36836325377225876,0.3996569514274597,DQNAgent,,0.99,370771.0,0.0378435,0.67842,,,0.281215,4.20695,,,16384.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,3,0,1000000,44,True,1024
DQNAgent,sweep_c32,10,0.33351383805274964,0.0605741608006442,0.01915523154833243,0.1752381026744842,0.3874788582324981,0.35609211027622223,0.31915362924337387,0.3653149828314781,DQNAgent,,0.99,207468.0,0.0102706,0.342809,,,0.0267022,7.83316,,,16384.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,3,0,1000000,38,True,128
DQNAgent,sweep_c73,10,0.3180194616317749,0.026692669098402566,0.008440963118014526,0.2667876482009887,0.3669565320014953,0.31654617190361023,0.30929784476757044,0.3226808235049248,DQNAgent,,0.99,205229.0,0.155528,0.572213,,,0.0456596,11.9542,,,512.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,8,0,1000000,38,True,128
DQNAgent,sweep_c49,10,0.31555619798600676,0.2095704959211714,0.06627200974819288,0.0424242429435253,0.5426356792449951,0.3680936992168426,0.10939373262226577,0.5015686303377151,DQNAgent,,0.99,50008.0,0.0208462,0.700258,,,0.00859954,10.5077,,,16384.0,65536,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,9,0,1000000,8,True,128
DQNAgent,sweep_c5,10,0.30554601550102234,0.01955627612276676,0.006184237509910961,0.2700729966163635,0.3280977308750152,0.30670468509197235,0.2919690310955047,0.322256714105606,DQNAgent,,0.99,159044.0,0.0528124,0.99858,,,0.14646,4.43725,,,16384.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,5,0,1000000,35,True,8192
DQNAgent,sweep_c71,10,0.2764829725027084,0.014981220137404449,0.004737477776257874,0.2555147111415863,0.2954955101013183,0.2795941978693008,0.2621220126748085,0.2880993112921715,DQNAgent,,0.99,101246.0,0.0701729,0.398476,,,0.207523,6.56688,,,128.0,32768,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,1024,1,9,0,1000000,11,True,128
DQNAgent,sweep_c89,10,0.2754416182637215,0.11333663098477521,0.0358401896241902,0.0677290856838226,0.374358981847763,0.3211610615253448,0.27940256148576736,0.3431423529982567,DQNAgent,,0.99,186316.0,0.132606,0.871322,,,0.0211043,8.90632,,,32768.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,0,0,1000000,40,True,512
DQNAgent,sweep_c91,10,0.262325818836689,0.06853852317470416,0.02167378406962997,0.1342412382364273,0.3385964930057525,0.28530873358249664,0.26256819069385523,0.3005893230438232,DQNAgent,,0.99,369794.0,0.0780968,0.481411,,,0.101048,12.3433,,,512.0,16384,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,1024,1,6,0,1000000,4,True,2
DQNAgent,sweep_c47,10,0.25130051374435425,0.03412957294112275,0.010792718606279969,0.1974169760942459,0.2966841161251068,0.26036036014556885,0.23186092078685755,0.2697584703564644,DQNAgent,,0.99,479037.0,0.179585,0.50747,,,0.0163134,12.0102,,,4096.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,7,0,1000000,3,True,256
DQNAgent,sweep_c17,10,0.24319667071104045,0.03922484770559992,0.012403985962292552,0.1799242496490478,0.3150442540645599,0.24176912009716028,0.2164176031947135,0.2568555697798729,DQNAgent,,0.99,7520.0,0.0673092,0.475653,,,0.0880622,11.1495,,,8192.0,32768,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,16,1,6,0,1000000,35,True,8
