agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_iters,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
NFQAgent,sweep_c38,10,0.9895102918148041,0.00029296883457624525,9.264488007060258e-05,0.988955557346344,0.9898095726966858,0.9896263182163239,0.989448070526123,0.9896868318319321,NFQAgent,0.99,119012,0.0114346,0.908227,3.15977e-06,2.39217,154,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,1,0,1000000,32,True,4096
NFQAgent,sweep_c22,10,0.9811056911945343,0.0005847599403928927,0.00018491732960658374,0.9802578687667848,0.9824023246765136,0.980978399515152,0.9807909131050111,0.9812340587377547,NFQAgent,0.99,112948,0.0293111,0.774961,0.000235484,0.707224,2,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,6,0,1000000,2,True,8192
NFQAgent,sweep_c72,10,0.9798653662204743,0.006789752926883705,0.0021471083998747206,0.9708459973335266,0.985856831073761,0.9846311211585999,0.9726422876119614,0.9850793182849884,NFQAgent,0.99,204882,0.0327916,0.430777,1.70984e-05,6.69571,252,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,3,0,1000000,8,True,128
NFQAgent,sweep_c17,10,0.9762319028377533,0.000491411102042547,0.000155397834994787,0.9754986763000488,0.9772295355796814,0.9762209355831146,0.9758831262588501,0.976499006152153,NFQAgent,0.99,71693,0.0636833,0.817311,2.92941e-06,3.98189,247,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,256,1,7,0,1000000,16,True,512
NFQAgent,sweep_c51,10,0.9612270593643188,0.0008426267924234556,0.0002664619881540032,0.9600749015808104,0.962469518184662,0.9613757133483887,0.9604507237672805,0.9616665989160538,NFQAgent,0.99,182112,0.105156,0.384965,0.000120464,5.54423,6,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,8,0,1000000,2,True,8
NFQAgent,sweep_c53,10,0.9591793477535248,0.0008024991354732829,0.00025377250884116,0.9582250714302064,0.9605820775032043,0.9593810141086578,0.9583796113729477,0.9596389979124069,NFQAgent,0.99,371923,0.0505982,0.617834,6.87978e-06,14.408,67,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,8,0,1000000,32,True,128
NFQAgent,sweep_c49,10,0.9570276796817779,0.004707566203972359,0.001488663144058545,0.9448965191841124,0.9615655541419984,0.9582814574241638,0.9559555947780609,0.9596671164035797,NFQAgent,0.99,297753,0.0425804,0.379411,6.34281e-05,6.61982,44,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,3,0,1000000,2,True,64
NFQAgent,sweep_c97,10,0.9467504739761352,0.006961213047811258,0.0022013288508766177,0.9366878271102904,0.9572556018829346,0.9484919905662537,0.9405546486377716,0.9517489671707153,NFQAgent,0.99,130391,0.163009,0.888096,8.87812e-05,14.2164,87,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,4,0,1000000,2,True,8192
NFQAgent,sweep_c94,10,0.9451254785060883,0.001212787285361682,0.00038351701390355,0.9427699446678162,0.9474577307701112,0.9453644156455994,0.944518581032753,0.9454413056373595,NFQAgent,0.99,468889,0.0421027,0.980465,2.33554e-06,13.8688,230,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,8,0,1000000,32,True,4
NFQAgent,sweep_c42,10,0.9443834066390991,0.0015684495323507663,0.000495987291725437,0.9418107867240906,0.9471774697303772,0.9445901811122894,0.9434036612510681,0.9452266842126846,NFQAgent,0.99,202410,0.138372,0.877514,3.5209e-05,12.2455,32,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,0,0,1000000,4,True,16
