agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_iters,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
NFQAgent,sweep_c90,10,0.9995153844356537,0.000158557189116282,5.014018570015114e-05,0.9992172718048096,0.999690055847168,0.9995339810848236,0.999437853693962,0.9996355473995208,NFQAgent,0.99,14639,0.0812702,0.942506,0.00087597,7.94389,184,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,2048,1,3,0,1000000,16,True,8
NFQAgent,sweep_c73,10,0.9993046522140503,0.0001382413004696018,4.371573761876462e-05,0.999082088470459,0.9995079040527344,0.9993108510971069,0.9992129504680635,0.999392181634903,NFQAgent,0.99,204882,0.0327916,0.430777,1.70984e-05,6.46662,252,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,0,0,1000000,8,True,8
NFQAgent,sweep_c12,10,0.9992067158222199,7.451178977036906e-05,2.3562696821000084e-05,0.9990557432174684,0.9992958903312684,0.9992325901985168,0.999196469783783,0.9992502182722092,NFQAgent,0.99,48989,0.0150247,0.88106,1.29674e-05,5.61509,60,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,9,0,1000000,8,True,2048
NFQAgent,sweep_c28,10,0.9990826666355133,5.4269526632222374e-05,1.716153116969897e-05,0.9990097880363464,0.999159574508667,0.9990738034248352,0.9990406930446624,0.9991338402032852,NFQAgent,0.99,142359,0.0112897,0.845592,3.57408e-06,2.54152,299,4096,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,5,0,1000000,64,True,16
NFQAgent,sweep_c43,10,0.9988606095314025,0.0002636411397122063,8.337064864132404e-05,0.9983733892440796,0.9992206692695618,0.9988023340702058,0.9987478703260422,0.9990696460008621,NFQAgent,0.99,138367,0.0535765,0.53288,0.00232453,14.1499,156,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,5,0,1000000,64,True,4
NFQAgent,sweep_c69,10,0.9986943662166595,0.00017367725827953864,5.4921571393667866e-05,0.998271942138672,0.9988844394683838,0.9986884891986847,0.9986696094274521,0.9988143742084503,NFQAgent,0.99,167849,0.106206,0.633701,0.000282109,7.44152,31,8192,FlatteningReplayBuffer,"(400,)",,0,0,100,256,1,6,0,1000000,4,True,1
NFQAgent,sweep_c55,10,0.9985075652599334,0.00019845832386460542,6.275803240315028e-05,0.998165726661682,0.9987383484840392,0.9985288083553314,0.9984537065029144,0.9986536353826522,NFQAgent,0.99,371923,0.0505982,0.617834,6.87978e-06,14.3917,67,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,128,1,4,0,1000000,32,True,128
NFQAgent,sweep_c84,10,0.9985054790973663,0.00020666975125141327,6.535471374149001e-05,0.998176097869873,0.9988261461257936,0.998539000749588,0.9983495622873307,0.9986516684293746,NFQAgent,0.99,282104,0.0781935,0.609249,5.63767e-05,9.55191,140,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,16,1,4,0,1000000,2,True,4
NFQAgent,sweep_c46,10,0.9984922885894776,9.654547186167523e-05,3.053035888585904e-05,0.9982714653015136,0.9986056089401244,0.9985037744045258,0.9984607845544815,0.9985589534044266,NFQAgent,0.99,314681,0.0107122,0.844704,3.97236e-06,9.29927,166,1024,FlatteningReplayBuffer,"(400,)",,0,0,100,512,1,5,0,1000000,8,True,4096
NFQAgent,sweep_c58,10,0.9984186708927154,0.00011309646949616231,3.5764243893162866e-05,0.9982612729072572,0.9986009001731871,0.9984174966812134,0.9983691722154617,0.9984491318464278,NFQAgent,0.99,207465,0.0772783,0.902682,0.00822059,1.26102,38,2048,FlatteningReplayBuffer,"(400,)",,0,0,100,1024,1,7,0,1000000,16,True,2048
