agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c82,10,0.9743181765079498,0.0011129451860054332,0.0003519441698696923,0.972237467765808,0.9756112694740297,0.9741789996623993,0.9739451855421066,0.975245013833046,DQNAgent,0.99,425150.0,0.0117521,0.807223,,,0.000525917,14.6855,,,,4096.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,5,0,1000000,2,True,2
DQNAgent,sweep_c34,10,0.9682273030281067,0.0005678824537632098,0.00017958019971370007,0.9673160314559937,0.9690348505973816,0.9682640731334686,0.9679018408060073,0.9686027765274047,DQNAgent,0.99,408424.0,0.0242888,0.991921,,,0.00014938,6.52519,,,,256.0,,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,9,0,1000000,2,True,256
DQNAgent,sweep_c1,6,0.9659165839354197,0.002600197963062601,0.0010615263732879257,0.9607579112052916,0.9674004912376404,0.967141717672348,0.9660651087760926,0.9672989994287491,DQNAgent,0.99,420117.0,0.0138063,0.397822,,,6.63965e-06,14.8102,,,,1024.0,,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,9,0,1000000,2,True,8192
DQNAgent,sweep_c16,10,0.9549961090087891,0.0012107747103186624,0.00038288058179375466,0.9524397253990172,0.9568870663642884,0.9552080631256104,0.9550398886203766,0.9553883522748947,DQNAgent,0.99,132432.0,0.0320359,0.891797,,,0.00981025,8.99219,,,,128.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,9,0,1000000,4,True,128
DQNAgent,sweep_c3,10,0.954578411579132,0.0011822328036108114,0.00037385483839767,0.9525264501571656,0.9561523795127868,0.9547090530395508,0.9536631405353547,0.9555898606777191,DQNAgent,0.99,481244.0,0.227344,0.343596,,,0.00119563,1.48975,,,,64.0,,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,8,0,1000000,1,True,8192
DQNAgent,sweep_c52,10,0.9446951389312744,0.008450554439356217,0.002672299951961289,0.9286932349205016,0.9534394145011902,0.9474394023418427,0.9458356201648713,0.9489292651414872,DQNAgent,0.99,482968.0,0.0110793,0.780493,,,0.000433531,10.8659,,,,2048.0,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,0,0,1000000,2,True,32
DQNAgent,sweep_c60,10,0.9437349200248718,0.004357214556767531,0.001377872225342643,0.935678243637085,0.9509990215301514,0.9438655972480774,0.9425288885831832,0.9461704194545746,DQNAgent,0.99,169123.0,0.119018,0.592058,,,0.00025832,3.13946,,,,8192.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,2,0,1000000,2,True,4096
DQNAgent,sweep_c43,10,0.9349633455276489,0.03353514776894522,0.010604744862018093,0.840029239654541,0.9509466886520386,0.9464855194091797,0.941249668598175,0.9469007551670076,DQNAgent,0.99,451826.0,0.0125006,0.478122,,,0.000981809,14.1499,,,,1024.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,9,0,1000000,64,True,1
DQNAgent,sweep_c93,10,0.930764240026474,0.006747842767040283,0.0021338552436540267,0.9194448590278624,0.9398872256278992,0.9315978288650513,0.9260787963867186,0.9358780980110167,DQNAgent,0.99,495810.0,0.0269723,0.521494,,,1.3424e-05,3.20908,,,,64.0,,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,8,0,1000000,8,True,8192
DQNAgent,sweep_c57,10,0.9273705244064331,0.00896300947269903,0.002834352462339371,0.9182060360908508,0.9501397013664246,0.9258603453636169,0.9230960458517075,0.9287865161895751,DQNAgent,0.99,117820.0,0.0153105,0.402849,,,0.000167124,7.67415,,,,2048.0,,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,9,0,1000000,16,True,64
DQNAgent,sweep_c39,10,0.9237851917743682,0.00280289630082682,0.0008863536355873242,0.919112503528595,0.9285100698471068,0.9246601760387421,0.922153502702713,0.9254257082939148,DQNAgent,0.99,247641.0,0.110509,0.506068,,,0.000172704,12.0192,,,,128.0,,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,2,0,1000000,8,True,1
DQNAgent,sweep_c80,10,0.917313951253891,0.010766171445994389,0.003404562344921075,0.8976243734359741,0.9318155646324158,0.9186508357524872,0.9109417498111725,0.9258390814065933,DQNAgent,0.99,43003.0,0.0190918,0.665393,,,3.22284e-05,13.0622,,,,512.0,,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,4,0,1000000,8,True,1024
DQNAgent,sweep_c25,10,0.9121339440345764,0.005534714064462208,0.001750230264146857,0.9035313129425048,0.9193490147590636,0.9123561978340149,0.9086409956216812,0.9163006544113159,DQNAgent,0.99,339134.0,0.161143,0.757497,,,3.26645e-05,1.81513,,,,2048.0,,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,0,0,1000000,1,True,1
DQNAgent,sweep_c33,10,0.912007999420166,0.0294449084832522,0.009311297630229082,0.8335981369018555,0.9340646862983704,0.9222878217697144,0.9186108410358428,0.9251101762056351,DQNAgent,0.99,292752.0,0.0139595,0.569368,,,2.01804e-05,4.41833,,,,16384.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,256,1,4,0,1000000,8,True,2
DQNAgent,sweep_c31,10,0.9041315197944642,0.041819181529138556,0.013224386351612097,0.8033996820449829,0.9427616000175476,0.917242705821991,0.8920833617448807,0.9313504844903947,DQNAgent,0.99,66182.0,0.158456,0.858512,,,9.76825e-05,1.82852,,,,8192.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,8,0,1000000,1,True,32
DQNAgent,sweep_c68,10,0.9034752249717712,0.04185481513256436,0.013235654686418569,0.8057720065116882,0.9459543228149414,0.9159030318260193,0.8870859444141388,0.9316881895065309,DQNAgent,0.99,333710.0,0.0143071,0.447195,,,0.00122369,6.11085,,,,16384.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,4,0,1000000,128,True,512
DQNAgent,sweep_c55,10,0.8990661203861237,0.009450082553701918,0.0029883784946318523,0.8878067135810852,0.921244740486145,0.8979257345199585,0.8931256681680679,0.9010450690984727,DQNAgent,0.99,136381.0,0.110926,0.633686,,,0.000478946,0.51625,,,,256.0,,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,0,0,1000000,32,True,16
DQNAgent,sweep_c94,10,0.8859592616558075,0.008175742979737936,0.002585396938010373,0.8714146614074707,0.8944304585456848,0.889904797077179,0.8814514130353928,0.8913262635469437,DQNAgent,0.99,137370.0,0.0936907,0.808059,,,0.000402174,10.1066,,,,2048.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,9,0,1000000,32,True,2048
DQNAgent,sweep_c91,10,0.8832088708877563,0.058748599289278856,0.018577938309867044,0.7224751114845276,0.9139286875724792,0.9047231078147888,0.8872765004634857,0.9138032346963882,DQNAgent,0.99,14639.0,0.0812702,0.942506,,,0.00087597,8.98227,,,,16384.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,3,0,1000000,16,True,8
DQNAgent,sweep_c5,10,0.8753514587879181,0.02274288835837545,0.007191932778339419,0.820801854133606,0.9014666080474854,0.8725070953369141,0.8703243136405945,0.8921565264463425,DQNAgent,0.99,490073.0,0.0562717,0.524038,,,2.98455e-06,1.72496,,,,8192.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,5,0,1000000,2,True,8192
