agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
RMaxNFQAgent,sweep_c93,10,0.9986213207244873,0.00028781863949175134,9.101624538448217e-05,0.998138666152954,0.9989125728607178,0.9987061321735382,0.9984165728092192,0.9988470971584321,RMaxNFQAgent,0.99,,,,,,2.1698e-06,10.3236,81.0,120.0,,,,,1.0,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,256,1,2,0,1000000,2,True,4096
RMaxNFQAgent,sweep_c39,10,0.9981404483318329,0.000978162731238412,0.0003093222153004516,0.9965345859527588,0.99908447265625,0.9985882639884949,0.9974968284368514,0.9987456202507018,RMaxNFQAgent,0.99,,,,,,4.83956e-06,6.68476,63.0,155.0,,,,,1.0,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,2,0,1000000,4,True,1024
RMaxNFQAgent,sweep_c43,10,0.9961495935916901,0.00195801531069791,0.000619178807528765,0.991845428943634,0.9980777502059937,0.996698796749115,0.9952869564294815,0.9976235777139664,RMaxNFQAgent,0.99,,,,,,2.3821e-06,0.900475,89.0,270.0,,,,,1.0,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,4,0,1000000,8,True,128
RMaxNFQAgent,sweep_c8,10,0.991547429561615,0.003187476559359234,0.0010079685915972076,0.98352712392807,0.994317889213562,0.9928527474403381,0.9906296581029892,0.9933583885431289,RMaxNFQAgent,0.99,,,,,,3.47466e-06,5.09718,49.0,124.0,,,,,1.0,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,8,0,1000000,8,True,1
DRMAgent,sweep_c72,10,0.9909716963768005,0.00212438274874295,0.0006717888107996927,0.9865280389785768,0.993496835231781,0.991622805595398,0.9900619238615035,0.9922713339328766,DRMAgent,0.99,,,,5.0,125.0,2.49464e-05,4.43679,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,7,0,1000000,1,True,512
RMaxNFQAgent,sweep_c67,10,0.9884089231491089,0.0040801684726070354,0.0012902625610648566,0.9784092903137208,0.9923673272132874,0.9895361661911012,0.9878622740507125,0.990800067782402,RMaxNFQAgent,0.99,,,,,,2.36926e-05,3.21138,18.0,58.0,,,,,1.0,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,8,0,1000000,16,True,1
DRMAgent,sweep_c31,10,0.9873308181762696,0.001900578699317946,0.0006010157562245015,0.9827615022659302,0.9903116226196288,0.987582415342331,0.986891895532608,0.9880178272724152,DRMAgent,0.99,,,,5.0,155.0,4.49535e-05,1.59269,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,1,0,1000000,2,True,16
DRMAgent,sweep_c99,10,0.979911071062088,0.00481302557894967,0.001522012326613152,0.9728826284408568,0.9862382411956788,0.9794031381607056,0.9768717736005782,0.984476923942566,DRMAgent,0.99,,,,5.0,149.0,0.00731687,1.04898,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,9,0,1000000,8,True,256
RMaxNFQAgent,sweep_c18,10,0.9700245678424835,0.010364545182700044,0.003277556968905814,0.9427410364151,0.9796827435493468,0.9732816517353058,0.9687897115945816,0.9755726158618927,RMaxNFQAgent,0.99,,,,,,1.15993e-05,7.2734,64.0,52.0,,,,,1.0,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,8,0,1000000,16,True,2048
DRMAgent,sweep_c26,10,0.9466240167617798,0.031248162176287658,0.009881536517139298,0.8809729218482971,0.975522756576538,0.9590063393115997,0.9466987997293472,0.9619569927453995,DRMAgent,0.99,,,,5.0,449.0,0.00949195,0.570028,,,1.0,4096.0,True,1.0,,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,9,0,1000000,1,True,128
