agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c51,10,0.9962391257286072,0.0004497215929476108,0.0001422144546673567,0.9952065348625184,0.9968739151954652,0.9962857365608215,0.9961445480585099,0.9964745640754701,DQNAgent,0.99,491604.0,0.230784,0.696209,,,0.000326995,6.29305,,,,,128.0,,,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,1,0,1000000,4,True,4096
DQNAgent,sweep_c82,10,0.9960467219352722,0.0014936718518489872,0.0004723405128724385,0.993649125099182,0.9975178837776184,0.9965923428535461,0.994724303483963,0.9972726106643677,DQNAgent,0.99,425150.0,0.0117521,0.807223,,,0.000525917,14.6855,,,,,4096.0,,,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,9,0,1000000,2,True,2
DQNAgent,sweep_c25,10,0.995462816953659,0.0008513835847381668,0.0002692311290251577,0.9936891794204712,0.9963172674179076,0.9957062602043152,0.9953041225671768,0.995996966958046,DQNAgent,0.99,339134.0,0.161143,0.757497,,,3.26645e-05,1.81513,,,,,2048.0,,,,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,6,0,1000000,1,True,1
DQNAgent,sweep_c75,10,0.9953322768211365,0.0002657174963066962,8.402725024865393e-05,0.995005428791046,0.9957399368286132,0.9952962100505829,0.9951214194297789,0.9955242574214935,DQNAgent,0.99,308510.0,0.24465,0.437336,,,1.99352e-05,13.5967,,,,,64.0,,,,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,7,0,1000000,2,True,32
DQNAgent,sweep_c52,10,0.9940141558647155,0.003454526515460391,0.0010924172026299708,0.9846675395965576,0.9972795844078064,0.9948469698429108,0.9939597696065904,0.9956247210502625,DQNAgent,0.99,482968.0,0.0110793,0.780493,,,0.000433531,10.8659,,,,,2048.0,,,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,8,0,1000000,2,True,32
DQNAgent,sweep_c31,10,0.9936119616031647,0.0035926648083429657,0.0011361003663896072,0.987583875656128,0.997134268283844,0.9949069023132324,0.9911517202854156,0.9966995865106583,DQNAgent,0.99,66182.0,0.158456,0.858512,,,9.76825e-05,1.82852,,,,,8192.0,,,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,2,0,1000000,1,True,32
DQNAgent,sweep_c1,10,0.9935054421424866,0.0008642800521099693,0.00027330935009165186,0.991822063922882,0.9945889115333556,0.9937501549720764,0.9933478385210037,0.9940631091594695,DQNAgent,0.99,420117.0,0.0138063,0.397822,,,6.63965e-06,14.8102,,,,,1024.0,,,,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,7,0,1000000,2,True,8192
DQNAgent,sweep_c34,10,0.9929264843463897,0.0006981835592949975,0.00022078502722554154,0.991826057434082,0.9938533306121826,0.9929870069026947,0.9925286918878555,0.9934566169977189,DQNAgent,0.99,408424.0,0.0242888,0.991921,,,0.00014938,6.52519,,,,,256.0,,,,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,9,0,1000000,2,True,256
DQNAgent,sweep_c22,10,0.9924912750720978,0.003862866883292221,0.0012215457649239244,0.9835758209228516,0.9966760873794556,0.9933804571628571,0.9914562106132507,0.995213508605957,DQNAgent,0.99,425173.0,0.0489392,0.518441,,,0.000830933,2.90122,,,,,4096.0,,,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,4,0,1000000,4,True,64
DQNAgent,sweep_c3,10,0.9901274263858795,0.005323982385986406,0.0016835910562334755,0.9794855117797852,0.9955908060073853,0.9920940101146698,0.9878359735012054,0.9939094334840775,DQNAgent,0.99,481244.0,0.227344,0.343596,,,0.00119563,1.48975,,,,,64.0,,,,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,3,0,1000000,1,True,8192
