agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_anneal_steps,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_initial_q_value,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_policy,param_agent_r_max,param_agent_step_size,param_agent_target_update_freq,param_agent_use_scheduler,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
BMFRmaxAgent,sweep_c75,10,0.999935120344162,7.907711779025387e-06,2.5006380301862332e-06,0.9999219179153442,0.9999459385871888,0.9999339282512664,0.9999294281005859,0.9999399185180664,,BMFRmaxAgent,,0.99,,,,,,,26.0,,,,0.01,0.0803886,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,128.0,1.0,2.0,0.0,1000000.0,1.0,True,64.0
BMFRmaxAgent,sweep_c44,10,0.999923688173294,8.026072756814117e-06,2.538067057775932e-06,0.9999098777770996,0.999933898448944,0.999924898147583,0.9999173879623414,0.9999278783798218,,BMFRmaxAgent,,0.99,,,,,,,82.0,,,,0.01,0.996004,,,64.0,ReplayBuffer,,0.0,0.0,100.0,64.0,1.0,0.0,0.0,1000000.0,1.0,True,128.0
BMFRmaxAgent,sweep_c39,10,0.9998646736145019,3.088390126846172e-05,9.766347104010237e-06,0.9997893571853638,0.9999098181724548,0.9998646676540375,0.9998616576194764,0.9998782575130463,,BMFRmaxAgent,,0.99,,,,,,,91.0,,,,0.01,0.0221007,,,2048.0,ReplayBuffer,,0.0,0.0,100.0,1024.0,1.0,7.0,0.0,1000000.0,3.0,True,128.0
BMFRmaxAgent,sweep_c97,10,0.9998025000095367,1.947251806610228e-05,6.157750886766041e-06,0.9997589588165284,0.999825358390808,0.9998043477535248,0.9997952729463576,0.99981789290905,,BMFRmaxAgent,,0.99,,,,,,,92.0,,,,0.01,0.809946,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,256.0,1.0,9.0,0.0,1000000.0,9.0,True,128.0
BMFRmaxAgent,sweep_c85,10,0.9997958600521087,1.5952542260090606e-05,5.044636801197651e-06,0.9997711181640624,0.9998254179954528,0.9997952580451964,0.9997892379760742,0.9998012781143188,,BMFRmaxAgent,,0.99,,,,,,,78.0,,,,0.01,0.82547,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,128.0,1.0,1.0,0.0,1000000.0,2.0,True,2048.0
RMaxAgent,sweep_c68,10,0.9998441517353058,2.7023475555057243e-05,8.54557330478638e-06,0.9997953176498412,0.999891757965088,0.9998465478420258,0.9998284876346588,0.999858632683754,,RMaxAgent,1e-06,0.99,,,,,,,8.0,,,,0.01,,,,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
RMaxAgent,sweep_c5,10,0.9995804190635681,4.168894280585141e-05,1.3183201251098118e-05,0.9995341300964355,0.9996376037597656,0.9995737671852112,0.9995417892932892,0.9996162801980972,,RMaxAgent,1e-06,0.99,,,,,,,21.0,,,,0.01,,,,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,7.0,0.0,1000000.0,1.0,True,0.0
RMaxAgent,sweep_c63,10,0.9993700325489044,4.3529408515110746e-05,1.3765207610767793e-05,0.9993077516555786,0.9994420409202576,0.999377965927124,0.9993321001529695,0.9994010329246521,,RMaxAgent,1e-06,0.99,,,,,,,32.0,,,,0.01,,,,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,7.0,0.0,1000000.0,1.0,True,0.0
RMaxAgent,sweep_c89,10,0.9993250727653503,6.0071108042677325e-05,1.8996152298491956e-05,0.999233901500702,0.9994299411773682,0.9993346035480499,0.9992766082286836,0.9993611127138138,,RMaxAgent,1e-06,0.99,,,,,,,33.0,,,,0.01,,,,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,5.0,0.0,1000000.0,1.0,True,0.0
RMaxAgent,sweep_c41,10,0.9992291092872619,6.445350711823686e-05,2.0381988567950404e-05,0.9990979433059692,0.9993071556091307,0.999242752790451,0.999204233288765,0.9992688745260239,,RMaxAgent,1e-06,0.99,,,,,,,38.0,,,,0.01,,,,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,6.0,0.0,1000000.0,1.0,True,0.0
QLearningAgent,sweep_c27,10,0.9998403012752533,6.727503171751949e-05,2.1274232988743102e-05,0.9997326731681824,0.9999364018440248,0.9998473525047302,0.9997932314872743,0.9998823404312134,61476.0,QLearningAgent,,0.99,,,,0.0301347,0.550157,0.0,,,,epsilon_greedy,,0.850828,,True,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
