agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_anneal_steps,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_initial_q_value,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_policy,param_agent_r_max,param_agent_step_size,param_agent_target_update_freq,param_agent_use_scheduler,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
BMFRmaxAgent,sweep_c75,10,0.999935120344162,7.907711779025387e-06,2.5006380301862332e-06,0.9999219179153442,0.9999459385871888,0.9999339282512664,0.9999294281005859,0.9999399185180664,,BMFRmaxAgent,,0.99,,,,,,,26.0,,,,0.01,0.0803886,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,128.0,1.0,2.0,0.0,1000000.0,1.0,True,64.0
BMFRmaxAgent,sweep_c44,10,0.999923688173294,8.026072756814117e-06,2.538067057775932e-06,0.9999098777770996,0.999933898448944,0.999924898147583,0.9999173879623414,0.9999278783798218,,BMFRmaxAgent,,0.99,,,,,,,82.0,,,,0.01,0.996004,,,64.0,ReplayBuffer,,0.0,0.0,100.0,64.0,1.0,0.0,0.0,1000000.0,1.0,True,128.0
BMFRmaxAgent,sweep_c39,10,0.9998646736145019,3.088390126846172e-05,9.766347104010237e-06,0.9997893571853638,0.9999098181724548,0.9998646676540375,0.9998616576194764,0.9998782575130463,,BMFRmaxAgent,,0.99,,,,,,,91.0,,,,0.01,0.0221007,,,2048.0,ReplayBuffer,,0.0,0.0,100.0,1024.0,1.0,7.0,0.0,1000000.0,3.0,True,128.0
RMaxAgent,sweep_c68,10,0.9998441517353058,2.7023475555057243e-05,8.54557330478638e-06,0.9997953176498412,0.999891757965088,0.9998465478420258,0.9998284876346588,0.999858632683754,,RMaxAgent,1e-06,0.99,,,,,,,8.0,,,,0.01,,,,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
QLearningAgent,sweep_c27,10,0.9998403012752533,6.727503171751949e-05,2.1274232988743102e-05,0.9997326731681824,0.9999364018440248,0.9998473525047302,0.9997932314872743,0.9998823404312134,61476.0,QLearningAgent,,0.99,,,,0.0301347,0.550157,0.0,,,,epsilon_greedy,,0.850828,,True,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
QLearningAgent,sweep_c78,10,0.9998025238513947,7.437470053690464e-05,2.351934539895667e-05,0.999655306339264,0.9998900294303894,0.999803900718689,0.9997954815626146,0.9998590052127839,288563.0,QLearningAgent,,0.99,,,,0.0382962,0.502672,0.0,,,,epsilon_greedy,,0.846557,,True,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,0.0,0.0,1000000.0,1.0,True,0.0
BMFRmaxAgent,sweep_c97,10,0.9998025000095367,1.947251806610228e-05,6.157750886766041e-06,0.9997589588165284,0.999825358390808,0.9998043477535248,0.9997952729463576,0.99981789290905,,BMFRmaxAgent,,0.99,,,,,,,92.0,,,,0.01,0.809946,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,256.0,1.0,9.0,0.0,1000000.0,9.0,True,128.0
BMFRmaxAgent,sweep_c85,10,0.9997958600521087,1.5952542260090606e-05,5.044636801197651e-06,0.9997711181640624,0.9998254179954528,0.9997952580451964,0.9997892379760742,0.9998012781143188,,BMFRmaxAgent,,0.99,,,,,,,78.0,,,,0.01,0.82547,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,128.0,1.0,1.0,0.0,1000000.0,2.0,True,2048.0
QLearningAgent,sweep_c97,10,0.9997667670249939,0.00016739029676710303,5.2933459599556515e-05,0.9993413090705872,0.999903678894043,0.9997867047786714,0.9997481554746629,0.9998865723609924,357478.0,QLearningAgent,,0.99,,,,0.0397717,0.403881,0.0,,,,epsilon_greedy,,0.854982,,True,1.0,ReplayBuffer,,0.0,0.0,100.0,1.0,1.0,6.0,0.0,1000000.0,1.0,True,0.0
BMFRmaxAgent,sweep_c73,10,0.9997645437717437,4.0243814075531325e-05,1.2726211421102247e-05,0.9996694326400756,0.9998133778572084,0.9997650384902954,0.9997544586658478,0.9997862130403519,,BMFRmaxAgent,,0.99,,,,,,,19.0,,,,0.01,0.889135,,,1024.0,ReplayBuffer,,0.0,0.0,100.0,1024.0,1.0,1.0,0.0,1000000.0,41.0,True,2048.0
BMFRmaxAgent,sweep_c16,10,0.9997335553169251,2.9665165104681942e-05,9.380948889574227e-06,0.9996559619903564,0.9997590184211732,0.9997407793998718,0.9997302144765854,0.9997469037771224,,BMFRmaxAgent,,0.99,,,,,,,70.0,,,,0.01,0.494902,,,2048.0,ReplayBuffer,,0.0,0.0,100.0,1024.0,1.0,0.0,0.0,1000000.0,46.0,True,512.0
