agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c58,10,0.9966245591640472,0.0006732490740874592,0.0002129000506715818,0.9954829216003418,0.997575581073761,0.9966700077056885,0.9961794465780258,0.9970103800296783,DRMAgent,0.99,5,239.0,0.000191701,1.61206,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,8,0,1000000,1,True,1024
DRMAgent,sweep_c62,10,0.9955340027809143,0.0014906060277076198,0.00047137101415321343,0.9926445484161376,0.9972808957099916,0.9955568611621857,0.9950550496578218,0.996818020939827,DRMAgent,0.99,5,201.0,0.000421108,6.88651,,,1.0,512.0,True,1.0,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,9,0,1000000,1,True,16
DRMAgent,sweep_c31,10,0.9929243266582489,0.00782860693074904,0.0024756228807347033,0.9760000109672546,0.998529613018036,0.9969732165336609,0.9904559403657914,0.9977667331695556,DRMAgent,0.99,5,155.0,4.49535e-05,1.59269,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,9,0,1000000,2,True,16
DRMAgent,sweep_c85,10,0.9922171592712402,0.006440033708686726,0.002036517472771135,0.9799097180366516,0.9962305426597596,0.9956027865409852,0.993120864033699,0.995979830622673,DRMAgent,0.99,5,279.0,0.000240648,4.45459,,,1.0,1024.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,6,0,1000000,4,True,2
DRMAgent,sweep_c91,10,0.9807713985443115,0.027531304735177918,0.008706162991934104,0.9051386713981628,0.9946749806404114,0.9917523562908173,0.9849962145090103,0.9933099746704103,DRMAgent,0.99,5,294.0,5.00774e-05,6.56688,,,1.0,128.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,8,0,1000000,4,True,64
RMaxNFQAgent,sweep_c42,10,0.6960552823118633,0.47971167988774294,0.1516981528630854,0.0002999700082,0.9988165497779846,0.9955272376537323,0.24505298800067973,0.9979012459516524,RMaxNFQAgent,0.99,5,,3.11797e-06,14.8327,28.0,134.0,,,,,1.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,0,0,1000000,8,True,2
RMaxNFQAgent,sweep_c53,10,0.5422476393403486,0.4582924816389699,0.14492480765100416,0.0028945005033165,0.9816717505455016,0.6154877692461014,0.08784649427980179,0.9685778170824051,RMaxNFQAgent,0.99,5,,2.43986e-06,14.1727,33.0,156.0,,,,,1.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,8,0,1000000,64,True,4
RMaxNFQAgent,sweep_c55,10,0.10491185782011594,0.07541026713078196,0.02384682030950016,0.0018992403056472,0.1932304203510284,0.1128015518188476,0.0386983416974544,0.16970375925302503,RMaxNFQAgent,0.99,5,,0.000800428,10.8992,77.0,78.0,,,,,1.0,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,8,0,1000000,1,True,64
RMaxNFQAgent,sweep_c74,10,0.10391623480536505,0.3023786585415462,0.09562052768176141,0.0003999600012321,0.9625725150108336,0.0012495651608332502,0.001124632603023125,0.002822422538883975,RMaxNFQAgent,0.99,5,,0.000156159,1.82032,60.0,95.0,,,,,1.0,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,2,True,4096
RMaxNFQAgent,sweep_c4,10,0.10202802978456016,0.021596092033114002,0.006829283938325672,0.0516732297837734,0.1154512241482734,0.11186077445745465,0.10631937347352496,0.11372342146933073,RMaxNFQAgent,0.99,5,,0.0565134,13.7819,70.0,48.0,,,,,1.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,6,0,1000000,1,True,8192
