agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c58,10,0.9966245591640472,0.0006732490740874592,0.0002129000506715818,0.9954829216003418,0.997575581073761,0.9966700077056885,0.9961794465780258,0.9970103800296783,DRMAgent,0.99,5,239.0,0.000191701,1.61206,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,8,0,1000000,1,True,1024
DRMAgent,sweep_c62,10,0.9955340027809143,0.0014906060277076198,0.00047137101415321343,0.9926445484161376,0.9972808957099916,0.9955568611621857,0.9950550496578218,0.996818020939827,DRMAgent,0.99,5,201.0,0.000421108,6.88651,,,1.0,512.0,True,1.0,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,9,0,1000000,1,True,16
DRMAgent,sweep_c31,10,0.9929243266582489,0.00782860693074904,0.0024756228807347033,0.9760000109672546,0.998529613018036,0.9969732165336609,0.9904559403657914,0.9977667331695556,DRMAgent,0.99,5,155.0,4.49535e-05,1.59269,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,9,0,1000000,2,True,16
DRMAgent,sweep_c85,10,0.9922171592712402,0.006440033708686726,0.002036517472771135,0.9799097180366516,0.9962305426597596,0.9956027865409852,0.993120864033699,0.995979830622673,DRMAgent,0.99,5,279.0,0.000240648,4.45459,,,1.0,1024.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,6,0,1000000,4,True,2
DRMAgent,sweep_c91,10,0.9807713985443115,0.027531304735177918,0.008706162991934104,0.9051386713981628,0.9946749806404114,0.9917523562908173,0.9849962145090103,0.9933099746704103,DRMAgent,0.99,5,294.0,5.00774e-05,6.56688,,,1.0,128.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,8,0,1000000,4,True,64
DRMAgent,sweep_c72,10,0.8911097288830205,0.3123765511663305,0.09878213893137316,0.0023964054416865,0.9985315203666688,0.9886891841888428,0.9851668626070023,0.996489554643631,DRMAgent,0.99,5,125.0,2.49464e-05,4.43679,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,2,0,1000000,1,True,512
DRMAgent,sweep_c29,10,0.7837222296046094,0.41280289966929995,0.1305397387676956,0.0009995002765208,0.9950944781303406,0.980111688375473,0.941413938999176,0.9924059212207794,DRMAgent,0.99,5,372.0,5.89497e-06,6.08707,,,1.0,64.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,1,True,1
DRMAgent,sweep_c9,10,0.7771076643075503,0.41039403839151617,0.12977798994717757,9.999999747378752e-05,0.9968345761299132,0.97038733959198,0.911022961139679,0.994464248418808,DRMAgent,0.99,5,95.0,1.31218e-05,0.591289,,,1.0,256.0,True,1.0,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,6,0,1000000,2,True,1024
DRMAgent,sweep_c78,10,0.7555287063121796,0.13299001775620883,0.042055136217585526,0.5046976804733276,0.9201801419258118,0.7768938839435577,0.6611997336149216,0.8523077666759491,DRMAgent,0.99,5,237.0,0.00534443,7.30099,,,1.0,128.0,True,1.0,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,1,0,1000000,1,True,512
RMaxNFQAgent,sweep_c42,10,0.6960552823118633,0.47971167988774294,0.1516981528630854,0.0002999700082,0.9988165497779846,0.9955272376537323,0.24505298800067973,0.9979012459516524,RMaxNFQAgent,0.99,5,,3.11797e-06,14.8327,28.0,134.0,,,,,1.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,0,0,1000000,8,True,2
