agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c45,10,0.9749638438224792,0.00790749381949693,0.0025005691053314673,0.9565773606300354,0.9832874536514282,0.9775551855564117,0.9723491370677947,0.9785531312227249,DQNAgent,,0.99,11605.0,0.141065,0.371036,,,0.000511474,9.01467,,,64.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,512,1,7,0,1000000,7,True,16
DQNAgent,sweep_c25,10,0.9718074262142181,0.004059452847749065,0.0012837117052943777,0.9641542434692384,0.9753971099853516,0.9740806221961975,0.9689701050519943,0.974657267332077,DQNAgent,,0.99,182955.0,0.0914715,0.664606,,,6.13188e-06,13.0908,,,128.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,16,1,0,0,1000000,3,True,16
DQNAgent,sweep_c7,10,0.9691877722740173,0.013568173782611367,0.004290633284203422,0.933500587940216,0.9819490313529968,0.9709913730621338,0.9680727571249007,0.9768105745315552,DQNAgent,,0.99,37220.0,0.0242178,0.98691,,,1.56545e-06,10.213,,,128.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,64,1,2,0,1000000,3,True,4096
DQNAgent,sweep_c23,10,0.9660193860530853,0.016898776190013193,0.005343862242986404,0.9293650388717652,0.9834043979644777,0.9711411893367767,0.9595980644226074,0.9775461107492448,DQNAgent,,0.99,396708.0,0.0104981,0.302375,,,0.000291375,14.7056,,,64.0,2048,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,128,1,5,0,1000000,8,True,32
DQNAgent,sweep_c21,10,0.9577974021434784,0.023020784154067088,0.007279811144996457,0.9064328670501708,0.9757909178733826,0.9699445962905884,0.9519082456827164,0.9725022315979005,DQNAgent,,0.99,397091.0,0.0674937,0.641086,,,0.0013011,13.2697,,,64.0,131072,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,512,1,5,0,1000000,20,True,2
DRMAgent,sweep_c69,10,0.22313370123520143,0.3787632333758161,0.11977545113974854,9.999999747378752e-05,0.9972302913665771,0.0040393243543803,0.001522789520095075,0.33267336257267743,DRMAgent,,0.99,,,,5.0,480.0,0.000125247,7.30099,1.0,0.01,128.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,256,1,1,0,1000000,1,True,1024
DRMAgent,sweep_c29,10,0.18156274557113644,0.003694841142209376,0.0011684113601879728,0.1764154434204101,0.1886616200208664,0.18117148429155344,0.1789819002151489,0.18379953876137728,DRMAgent,,0.99,,,,5.0,133.0,0.386625,13.6568,1.0,0.01,32768.0,1024,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,2048,1,7,0,1000000,46,True,2048
DRMAgent,sweep_c59,10,0.10760690122842786,0.0022254309950120593,0.0007037430719772922,0.1034682616591453,0.1111752837896347,0.1078124418854713,0.1061726454645395,0.10864514857530588,DRMAgent,,0.99,,,,5.0,426.0,0.0683393,8.98918,1.0,0.01,128.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,128,1,4,0,1000000,1,True,2048
DRMAgent,sweep_c79,10,0.09097129702568049,0.0033564762647278657,0.0010614109908834335,0.0863658413290977,0.0963307172060012,0.0907671973109245,0.08813745342195033,0.0932817198336124,DRMAgent,,0.99,,,,5.0,455.0,0.098933,10.3347,1.0,0.01,128.0,2048,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,1024,1,1,0,1000000,1,True,2
DRMAgent,sweep_c41,10,0.019568170281127048,0.025107903379942884,0.007939816195205953,0.0028973922599107,0.0629411786794662,0.00519157457165415,0.004543756018392675,0.0306660390924662,DRMAgent,,0.99,,,,5.0,254.0,0.0832575,9.56247,1.0,0.01,8192.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",0,0,100,128,1,3,0,1000000,1,True,4096
