agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c58,5,0.09358271993696685,0.07645177736933312,0.03419027423970178,0.0056263301521539,0.2051925510168075,0.0770179852843284,0.0520455986261367,0.1280311346054077,DQNAgent,0.99,422732.0,0.249392,0.928373,,,7.78639e-06,6.38624,,,,512.0,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,4,0,0,1000000,2,True,32
DQNAgent,sweep_c36,5,0.060874485608655916,0.07020555102485958,0.03139687689788321,0.0007011462585069,0.1598130762577057,0.0184569358825683,0.0152681358158588,0.1101331338286399,DQNAgent,0.99,419084.0,0.296995,0.748698,,,2.89514e-05,12.506,,,,512.0,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,8,2,0,1000000,8,True,32
DQNAgent,sweep_c53,5,0.048607977016217746,0.09585306158651385,0.04792653079325693,5.385481927078217e-05,0.1923855990171432,0.0009962271142285,0.0005462478111439456,0.04905795631930229,DQNAgent,0.99,482968.0,0.0110793,0.780493,,,0.000351428,14.4786,,,,2048.0,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,512,1,2,0,1000000,1,True,32
DQNAgent,sweep_c76,5,0.04239598354324694,0.0632484011680916,0.028285544896005984,0.0016266559250652,0.1529079377651214,0.0192203596234321,0.0032213134691119,0.0350036509335041,DQNAgent,0.99,308510.0,0.24465,0.437336,,,1.79756e-05,18.1259,,,,64.0,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,2,1,0,1000000,1,True,32
DQNAgent,sweep_c26,5,0.032231532491277845,0.046811701026831395,0.02093482912767834,0.0002190473605878,0.1130552291870117,0.0182691160589456,0.0005610139342024,0.0290532559156417,DQNAgent,0.99,339134.0,0.161143,0.757497,,,2.89549e-05,2.39068,,,,2048.0,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,256,1,1,0,1000000,1,True,1
NFQAgent,sweep_c132,5,0.00747314037289466,0.005606814987187624,0.0025074438897232276,0.001086396514438,0.0145675130188465,0.0068180551752448,0.0033119949512183,0.0115817422047257,NFQAgent,0.99,15573.0,0.232826,0.8486,,,0.000195256,13.1359,,50.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,512,1,2,0,1000000,4,True,128
NFQAgent,sweep_c151,5,0.00573714697966348,0.0087438490064024,0.003910368152661952,0.0006657117628492,0.021304277703166,0.0023057686630636,0.0014845989644527,0.0029253778047859,NFQAgent,0.99,198056.0,0.0807985,0.78198,,,4.3017e-06,2.16485,,19.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,32,8,0,0,1000000,4,True,32
NFQAgent,sweep_c76,5,0.00511292855844655,0.008715014504933173,0.004357507252466587,0.0001110427620005,0.018131960183382,0.0011043556442018499,0.000274336331131025,0.005942947871517374,NFQAgent,0.99,27106.0,0.0735151,0.958024,,,1.31252e-05,18.1635,,18.0,,,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,32,4,0,0,1000000,2,True,1
NFQAgent,sweep_c12,5,0.0046524852048605205,0.004098330919071219,0.0018328293058664869,0.0017872157040983,0.0114694023504853,0.0024788237642496,0.0020028508733958,0.0055241333320736,NFQAgent,0.99,316710.0,0.241743,0.743944,,,0.0453674,13.7715,,14.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,16,2,0,1000000,16,True,2
NFQAgent,sweep_c88,5,0.004191648046798917,0.00741489581793763,0.003707447908968815,3.531042239046656e-05,0.0152903273701667,0.00072047719731925,0.00021877638118891665,0.004693348862929251,NFQAgent,0.99,281768.0,0.0102214,0.998005,,,0.10325,10.548,,26.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,1024,1,3,0,1000000,4,True,2048
DRMAgent,sweep_c160,5,0.0015254934442054501,0.002728501048532112,0.001364250524266056,0.0001034991146298,0.0056173633784055,0.00019055564189325,0.0001329457008978,0.0015831033852009,DRMAgent,0.99,,,,16.0,20.0,0.00402578,12.8668,,,0.01,256.0,True,1.0,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,512,2,4,0,1000000,1,True,1024
DRMAgent,sweep_c17,5,0.00028839854348915,2.1170744785999515e-05,1.496997720095e-05,0.0002734285662882,0.0003033685206901,0.00028839854348915,0.00028091355488867503,0.000295883532089625,DRMAgent,0.99,,,,16.0,295.0,4.80995e-06,7.46578,,,0.01,128.0,True,1.0,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,16,1,2,0,1000000,16,True,8
DRMAgent,sweep_c34,5,0.0002586868176876844,0.00027548569818527084,0.00019479780530671557,6.388901238096878e-05,0.0004534846229944,0.0002586868176876844,0.00016128791503432658,0.00035608572034104215,DRMAgent,0.99,,,,16.0,267.0,0.0454585,2.39068,,,0.01,2048.0,True,1.0,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,256,1,3,0,1000000,1,True,1
DRMAgent,sweep_c142,5,7.064381497912109e-05,,,7.064381497912109e-05,7.064381497912109e-05,7.064381497912109e-05,7.064381497912109e-05,7.064381497912109e-05,DRMAgent,0.99,,,,16.0,282.0,0.216113,19.0008,,,0.01,1024.0,True,1.0,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,64,2,3,0,1000000,1,True,512
DRMAgent,sweep_c3,5,3.4957320167450234e-05,,,3.4957320167450234e-05,3.4957320167450234e-05,3.4957320167450234e-05,3.4957320167450234e-05,3.4957320167450234e-05,DRMAgent,0.99,,,,16.0,38.0,0.132572,9.49564,,,0.01,2048.0,True,1.0,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,512,4,3,0,1000000,8,True,512
RMaxNFQAgent,sweep_c76,5,0.000246163457632,,,0.000246163457632,0.000246163457632,0.000246163457632,0.000246163457632,0.000246163457632,RMaxNFQAgent,0.99,,,,16.0,,0.0200408,7.76301,149.0,24.0,,,,,1.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,16,1,1,0,1000000,8,True,2048
RMaxNFQAgent,sweep_c150,5,0.0001659901754464,,,0.0001659901754464,0.0001659901754464,0.0001659901754464,0.0001659901754464,0.0001659901754464,RMaxNFQAgent,0.99,,,,16.0,,0.000794695,16.3011,413.0,52.0,,,,,1.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,64,1,3,0,1000000,8,True,64
