agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c65,5,0.9201263070106507,0.0003723733276183576,0.00016653041471248947,0.9196467399597168,0.9206251502037048,0.9200598001480104,0.919962465763092,0.9203373789787292,DQNAgent,0.99,261927.0,0.0136997,0.825947,,,0.00026155,10.9204,,,,512.0,,,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,4,0,1000000,1,True,16
DQNAgent,sweep_c15,5,0.9200626134872436,0.0008100324496177928,0.00036225752426521164,0.9186941981315612,0.9208102822303772,0.9203732013702391,0.9200620055198668,0.9203733801841736,DQNAgent,0.99,137384.0,0.037841,0.789526,,,0.00250813,18.0975,,,,2048.0,,,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,2,0,1000000,2,True,4096
DQNAgent,sweep_c29,5,0.9200277090072632,0.0020676718001906617,0.0009246909400771364,0.9171409010887146,0.922038197517395,0.9201927781105042,0.918892502784729,0.9218741655349731,DQNAgent,0.99,142359.0,0.0112897,0.845592,,,3.42008e-06,3.07338,,,,256.0,,,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,8,1,0,1000000,4,True,256
DQNAgent,sweep_c96,5,0.9197121500968933,0.0016766904166414143,0.0007498387497665293,0.9171475172042848,0.9211391806602478,0.9204848408699036,0.9189026951789856,0.9208865165710448,DQNAgent,0.99,31504.0,0.0703504,0.311884,,,8.4164e-06,7.13305,,,,256.0,,,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,2,4,0,1000000,1,True,1
DQNAgent,sweep_c192,5,0.9194787502288818,0.0006479863446044213,0.000289788303005418,0.9186197519302368,0.9202449917793274,0.9196344614028932,0.9190421104431152,0.9198524355888368,DQNAgent,0.99,260760.0,0.0173158,0.686565,,,8.52115e-05,12.7794,,,,64.0,,,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,4,0,0,1000000,2,True,2
DQNAgent,sweep_c124,5,0.9187904834747315,0.0009214545408328847,0.00041208699829563717,0.9173391461372375,0.9195414185523988,0.9192469716072084,0.9184185266494752,0.9194063544273376,DQNAgent,0.99,269552.0,0.0182558,0.742781,,,7.42868e-06,17.9298,,,,64.0,,,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,8,2,0,1000000,2,True,512
DQNAgent,sweep_c128,5,0.9180725932121276,0.0013488312067115077,0.0006032156536760003,0.9162896871566772,0.9191370606422424,0.9189603328704834,0.9169479608535768,0.9190279245376588,DQNAgent,0.99,164187.0,0.0123492,0.589685,,,1.26431e-05,18.2423,,,,4096.0,,,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,4,True,64
DQNAgent,sweep_c137,5,0.9160229921340942,0.0019309665117176393,0.0008635544764952571,0.9134481549263,0.9187872409820556,0.9160187840461732,0.9153707027435304,0.916490077972412,DQNAgent,0.99,21018.0,0.0566842,0.87686,,,1.29177e-06,15.5647,,,,64.0,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,8,4,0,1000000,2,True,4096
DQNAgent,sweep_c196,5,0.915519380569458,0.0004803480015453982,0.00021481815686233687,0.9148762226104736,0.916145086288452,0.9155040979385376,0.9152938723564148,0.915777623653412,DQNAgent,0.99,407944.0,0.0674232,0.389925,,,6.13716e-05,1.75731,,,,64.0,,,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,2,0,1000000,4,True,2
DQNAgent,sweep_c197,5,0.9149346113204956,0.0010918529000544877,0.0004882914611904236,0.9131890535354614,0.9160074591636658,0.9151305556297302,0.9147155284881592,0.9156304597854614,DQNAgent,0.99,374216.0,0.0147695,0.504683,,,0.0030629,19.583,,,,1024.0,,,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,2,0,1000000,8,True,64
