agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c188,5,0.9253239154815673,0.002268929597656311,0.0010146961633041517,0.9213969707489014,0.9269424676895142,0.9258077144622804,0.9256648421287536,0.9268075823783876,DRMAgent,0.99,,,,5.0,204.0,0.00043811,15.5781,,,1.0,128.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,2,2,0,1000000,2,True,8
NFQAgent,sweep_c146,5,0.9218232989311218,0.00010430527240391914,4.664673590135922e-05,0.92170912027359,0.9219915866851808,0.921815812587738,0.9217774271965028,0.9218225479125975,NFQAgent,0.99,244017.0,0.0710968,0.321858,,,0.000108224,1.98529,,40.0,,,,,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,2,4,0,1000000,2,True,8
DRMAgent,sweep_c176,5,0.9203875422477722,0.004094923045487891,0.0018313052584682772,0.9136611819267272,0.9237833023071288,0.9218934774398804,0.9195157885551452,0.9230839610099792,DRMAgent,0.99,,,,5.0,422.0,6.96002e-05,0.859822,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,8,2,0,1000000,2,True,4096
DRMAgent,sweep_c125,5,0.917668616771698,0.005147234235463311,0.002301913129322024,0.9105277061462402,0.9231033325195312,0.9194899797439576,0.914285123348236,0.9209369421005248,DRMAgent,0.99,,,,5.0,294.0,0.0011876,7.13305,,,1.0,256.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,2,4,0,1000000,1,True,1
NFQAgent,sweep_c151,5,0.9160738706588745,0.000874199503138789,0.00039095390298297456,0.914636731147766,0.9167108535766602,0.9164933562278748,0.9158535003662108,0.9166749119758606,NFQAgent,0.99,198056.0,0.0807985,0.78198,,,4.3017e-06,2.16485,,19.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,8,3,0,1000000,4,True,32
NFQAgent,sweep_c76,5,0.9153209090232849,0.01638704855142342,0.007328510902314444,0.8860626220703125,0.9233450293540956,0.9229468107223512,0.9209083318710328,0.9233417510986328,NFQAgent,0.99,27106.0,0.0735151,0.958024,,,1.31252e-05,18.1635,,18.0,,,,,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,4,3,0,1000000,2,True,1
DRMAgent,sweep_c161,5,0.9090311646461486,0.01670731119298494,0.007471736709751486,0.879368245601654,0.9189826250076294,0.9166842103004456,0.9132792353630066,0.9168415069580078,DRMAgent,0.99,,,,5.0,406.0,0.000399807,16.2641,,,1.0,512.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,2,2,0,1000000,4,True,128
NFQAgent,sweep_c67,5,0.9066124320030212,0.0012038614029351241,0.0005383831864902405,0.9044765830039978,0.9073790311813354,0.9070673584938048,0.9069631695747375,0.9071760177612304,NFQAgent,0.99,477459.0,0.130484,0.498378,,,2.75173e-05,4.3226,,44.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,4,2,0,1000000,4,True,256
NFQAgent,sweep_c22,5,0.9018890738487244,0.017852031869961787,0.007983671359545448,0.8707946538925171,0.9152387976646424,0.9080981016159058,0.9041487574577332,0.9111650586128236,NFQAgent,0.99,295337.0,0.0524506,0.669301,,,7.91865e-06,12.2776,,1.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,2048,4,3,0,1000000,4,True,8192
NFQAgent,sweep_c115,5,0.8868677854537964,0.0008873945585520505,0.00039685491115716044,0.8854450583457947,0.8875347375869751,0.8873212337493896,0.8865554928779602,0.8874824047088623,NFQAgent,0.99,470216.0,0.188748,0.799671,,,2.23428e-05,16.2331,,52.0,,,,,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,8,True,64
