agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c134,5,0.8842130184173584,0.00829398638918123,0.0037091834741334513,0.8707605004310608,0.8918383121490479,0.884758472442627,0.8835524320602417,0.8901553750038147,DRMAgent,0.99,5,275.0,0.000864137,2.5237,,,1.0,64.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,1,0,1000000,1,True,2048
DRMAgent,sweep_c99,5,0.8835085988044739,0.010033219066042029,0.004486991972963385,0.868034839630127,0.89144366979599,0.8880437612533569,0.8788792490959167,0.8911414742469788,DRMAgent,0.99,5,348.0,0.0006859,10.9204,,,1.0,512.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,1,True,2
DRMAgent,sweep_c181,5,0.8795949220657349,0.014093644097626073,0.006302869250596116,0.8574820160865784,0.8911213278770447,0.887706995010376,0.8736273646354675,0.8880369067192078,DRMAgent,0.99,5,472.0,0.000939964,1.72149,,,1.0,64.0,True,1.0,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,0,0,1000000,1,True,2
RMaxNFQAgent,sweep_c24,5,0.822444474697113,0.08388213253293941,0.037513230088259825,0.693839967250824,0.8947638869285583,0.8429529666900635,0.7887815833091736,0.8918839693069458,RMaxNFQAgent,0.99,5,,2.14205e-06,3.58507,346.0,83.0,,,,,1.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,4,0,1000000,4,True,2
DRMAgent,sweep_c14,5,0.8163404822349548,0.05369572358870442,0.024013457609076406,0.7332300543785095,0.8811449408531189,0.8245636820793152,0.8089820742607117,0.8337816596031189,DRMAgent,0.99,5,487.0,0.000245629,9.06621,,,1.0,1024.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,1,0,1000000,4,True,2
RMaxNFQAgent,sweep_c41,5,0.7779258489608765,0.04961382455850371,0.022187976867312557,0.6978768706321716,0.8302027583122253,0.7840052247047424,0.7740554213523865,0.8034889698028564,RMaxNFQAgent,0.99,5,,6.21643e-05,18.7996,187.0,22.0,,,,,1.0,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,0,0,1000000,16,True,1024
DRMAgent,sweep_c56,5,0.7655678033828736,0.2607979107833791,0.11663237138031221,0.2990589141845703,0.8856674432754517,0.8802486658096313,0.8795596957206726,0.8833042979240417,DRMAgent,0.99,5,186.0,0.00129977,2.18445,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,4,0,1000000,2,True,512
DRMAgent,sweep_c166,5,0.75636225938797,0.06241200798485604,0.027911498493279552,0.6694977283477783,0.843521237373352,0.7592312097549438,0.7401917576789856,0.76936936378479,DRMAgent,0.99,5,23.0,0.000329846,18.5948,,,1.0,2048.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,4,0,1000000,4,True,2048
DRMAgent,sweep_c125,5,0.733480179309845,0.06983453961230472,0.03123095555010303,0.6375755071640015,0.8149337768554688,0.744202733039856,0.693195104598999,0.7774937748908997,DRMAgent,0.99,5,441.0,0.00015568,6.94441,,,1.0,8192.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,4,0,1000000,1,True,16
DRMAgent,sweep_c192,5,0.681200809776783,0.32137234260169967,0.14372208082915042,0.1164655461907386,0.8832348585128784,0.793946385383606,0.737525224685669,0.874832034111023,DRMAgent,0.99,5,181.0,0.00177818,16.6868,,,1.0,2048.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,1,True,4
