agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c188,5,0.8924072265625,0.003856513248151189,0.0017246851557989147,0.8860607743263245,0.8956868052482605,0.8943668603897095,0.891545832157135,0.8943758606910706,DRMAgent,0.99,,,,5.0,204.0,0.00043811,15.5781,,,1.0,128.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,2,1,0,1000000,2,True,8
DRMAgent,sweep_c161,5,0.8638224601745605,0.028860535903767512,0.012906824029579496,0.8134151101112366,0.882663369178772,0.8738742470741272,0.8673908114433289,0.8817687630653381,DRMAgent,0.99,,,,5.0,406.0,0.000399807,16.2641,,,1.0,512.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,2,0,0,1000000,4,True,128
DRMAgent,sweep_c176,5,0.7152540206909179,0.39984101724839494,0.1788143389520154,0.0,0.895310640335083,0.893004834651947,0.8926981091499329,0.895256519317627,DRMAgent,0.99,,,,5.0,422.0,6.96002e-05,0.859822,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,8,0,0,1000000,2,True,4096
DRMAgent,sweep_c75,5,0.6647001201286912,0.37353264305187683,0.1670488763358322,0.0006048949435353,0.8729625940322876,0.8417361974716187,0.762234091758728,0.8459628224372864,DRMAgent,0.99,,,,5.0,125.0,2.23204e-05,5.89208,,,1.0,256.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,16,0,0,1000000,2,True,1
DRMAgent,sweep_c33,5,0.6637895584106446,0.07519741101549307,0.0336293045525268,0.6137449741363525,0.794425904750824,0.6377863883972168,0.6154932975769043,0.657497227191925,DRMAgent,0.99,,,,5.0,473.0,0.000182289,0.534725,,,1.0,128.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,2,1,0,1000000,4,True,1024
NFQAgent,sweep_c151,5,0.8796140551567078,0.0015163147743403038,0.0006781165821424346,0.8772953152656555,0.8811052441596985,0.8797396421432495,0.8791481852531433,0.880781888961792,NFQAgent,0.99,198056.0,0.0807985,0.78198,,,4.3017e-06,2.16485,,19.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,8,4,0,1000000,4,True,32
NFQAgent,sweep_c76,5,0.875141954421997,0.018489723436413013,0.0082688556977981,0.8529364466667175,0.8908653259277344,0.8857291340827942,0.8571731448173523,0.889005720615387,NFQAgent,0.99,27106.0,0.0735151,0.958024,,,1.31252e-05,18.1635,,18.0,,,,,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,4,3,0,1000000,2,True,1
NFQAgent,sweep_c115,5,0.837798535823822,0.0014984033919714713,0.0006701063684328944,0.8353311419487,0.839184582233429,0.8378893733024597,0.8378075361251831,0.8387800455093384,NFQAgent,0.99,470216.0,0.188748,0.799671,,,2.23428e-05,16.2331,,52.0,,,,,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,1,0,1000000,8,True,64
NFQAgent,sweep_c22,5,0.8049125075340271,0.05294433999263086,0.023677428649476664,0.7246819138526917,0.8575124144554138,0.8131213784217834,0.7850199937820435,0.8442268371582031,NFQAgent,0.99,295337.0,0.0524506,0.669301,,,7.91865e-06,12.2776,,1.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,2048,4,1,0,1000000,4,True,8192
NFQAgent,sweep_c67,5,0.7916725397109985,0.09498853674220345,0.042480165047760664,0.6364787220954895,0.8682253956794739,0.813258707523346,0.7751874923706055,0.8652123808860779,NFQAgent,0.99,477459.0,0.130484,0.498378,,,2.75173e-05,4.3226,,44.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,4,3,0,1000000,4,True,256
RMaxNFQAgent,sweep_c137,5,0.2155350297689438,,,0.2155350297689438,0.2155350297689438,0.2155350297689438,0.2155350297689438,0.2155350297689438,RMaxNFQAgent,0.99,,,,5.0,,1.95666e-06,14.9292,139.0,18.0,,,,,1.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,16,1,0,1000000,2,True,256
RMaxNFQAgent,sweep_c123,5,0.2065824361518025,0.39013175886818535,0.17447222660216377,0.0020335866138339,0.901802659034729,0.0348872579634189,0.0065503735095262,0.0876383036375045,RMaxNFQAgent,0.99,,,,5.0,,4.5978e-05,1.65402,483.0,20.0,,,,,1.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,8,1,0,1000000,4,True,1024
RMaxNFQAgent,sweep_c98,5,0.12175425516325047,0.26662805851914173,0.11923969271151856,0.0,0.598654568195343,0.0003097284061368,5.048862658441067e-05,0.0097564905881881,RMaxNFQAgent,0.99,,,,5.0,,1.31252e-05,4.48324,481.0,26.0,,,,,1.0,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,1,0,1000000,2,True,8192
RMaxNFQAgent,sweep_c93,5,0.07285196685261322,0.07922017586047424,0.035428339682701655,8.573788363719359e-05,0.1955898851156234,0.0792596116662025,0.0052069337107241,0.0841176658868789,RMaxNFQAgent,0.99,,,,5.0,,1.39827e-06,8.12384,241.0,6.0,,,,,1.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,8,0,0,1000000,1,True,1
RMaxNFQAgent,sweep_c52,5,0.0246247235394548,0.0230613867553063,0.010313365688055638,0.0003356066008564,0.0521359331905841,0.0290306340903043,0.0016798945143818,0.0399415493011474,RMaxNFQAgent,0.99,,,,5.0,,3.03654e-06,18.3525,444.0,34.0,,,,,1.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,4,2,0,1000000,1,True,1
