agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_anneal_steps,param_agent_class,param_agent_discount,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_intrinsic_reward_scale,param_agent_step_size,param_buffer_buffer_size,param_buffer_class,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
AnnealingEpsGreedyCountAgent,sweep_c28,5,868929.0,355587.15094544686,159023.40828789954,463250.0,1423065.0,763250.0,742555.0,952525.0,1809,AnnealingEpsGreedyCountAgent,0.95,0.0242066,0.37105,1179,0.00504052,5000,ReplayBuffer,,0,0,5000,1,1,3,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c33,5,778876.0,387339.2868080902,173223.39513183545,333755.0,1372855.0,802580.0,562725.0,822465.0,3623,AnnealingEpsGreedyCountAgent,0.95,0.076126,0.475481,2864,0.00234018,5000,ReplayBuffer,,0,0,5000,1,1,2,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c59,5,639114.0,727166.5729425411,325198.7776130162,14815.0,1682650.0,392715.0,23205.0,1082185.0,2956,AnnealingEpsGreedyCountAgent,0.95,0.0727492,0.404591,6468,0.00119809,5000,ReplayBuffer,,0,0,5000,1,1,0,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c47,5,598722.0,409636.20876638824,183194.88176938787,6490.0,1002945.0,655120.0,395055.0,934000.0,1749,AnnealingEpsGreedyCountAgent,0.95,0.0293111,0.774961,234,0.00404825,5000,ReplayBuffer,,0,0,5000,1,1,2,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c43,5,569827.0,157553.8991742191,70460.24573474038,423950.0,823690.0,533530.0,464415.0,603550.0,4321,AnnealingEpsGreedyCountAgent,0.95,0.0170971,0.481459,7983,0.00604517,5000,ReplayBuffer,,0,0,5000,1,1,2,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c45,5,569344.0,692017.2207701915,309479.5094485255,3860.0,1623145.0,293135.0,23690.0,902890.0,3400,AnnealingEpsGreedyCountAgent,0.95,0.011848,0.886416,3080,0.00201268,5000,ReplayBuffer,,0,0,5000,1,1,2,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c10,5,543696.0,236714.2176074348,105861.81636218037,273605.0,883740.0,533560.0,384050.0,643525.0,4161,AnnealingEpsGreedyCountAgent,0.95,0.0297002,0.356312,8016,0.00619267,5000,ReplayBuffer,,0,0,5000,1,1,2,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c91,5,467551.0,201751.8487028062,90226.16965714548,313720.0,813290.0,373870.0,363595.0,473280.0,668,AnnealingEpsGreedyCountAgent,0.95,0.188467,0.644282,2480,0.00469315,5000,ReplayBuffer,,0,0,5000,1,1,3,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c20,5,455311.0,336137.5827209745,150325.29695131155,4030.0,882975.0,483070.0,273485.0,632995.0,2746,AnnealingEpsGreedyCountAgent,0.95,0.0736513,0.380745,3119,0.00198289,5000,ReplayBuffer,,0,0,5000,1,1,4,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c64,5,440086.0,216436.155955977,96793.19150126212,254315.0,803790.0,394225.0,304185.0,443915.0,2473,AnnealingEpsGreedyCountAgent,0.95,0.0426623,0.789717,5489,0.00824795,5000,ReplayBuffer,,0,0,5000,1,1,3,1,5000,1,True,0
