agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_anneal_steps,param_agent_class,param_agent_discount,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_intrinsic_reward_scale,param_agent_step_size,param_buffer_buffer_size,param_buffer_class,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
AnnealingEpsGreedyCountAgent,sweep_c90,5,784865.2,1361101.7692388764,608703.216062672,96460.0,3206670.0,100570.0,97860.0,422766.0,294,AnnealingEpsGreedyCountAgent,0.95,0.0120787,0.880958,7886,0.00140719,1,ReplayBuffer,,0,0,5000,1,1,1,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c78,5,737641.2,1336797.7144477393,597834.1123342995,3583.0,3123670.0,166300.0,143350.0,251303.0,1277,AnnealingEpsGreedyCountAgent,0.95,0.0239577,0.403857,6209,0.000138635,1,ReplayBuffer,,0,0,5000,1,1,0,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c45,5,603684.6,1024015.7901606302,457953.7833664659,97476.0,2433103.0,130908.0,122439.0,234497.0,3400,AnnealingEpsGreedyCountAgent,0.95,0.011848,0.886416,3080,0.00201268,1,ReplayBuffer,,0,0,5000,1,1,4,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c28,5,490287.6,363809.52084476844,162700.56389410578,137650.0,1088121.0,474531.0,272850.0,478286.0,1809,AnnealingEpsGreedyCountAgent,0.95,0.0242066,0.37105,1179,0.00504052,1,ReplayBuffer,,0,0,5000,1,1,0,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c57,5,444547.6,716221.9744658774,320304.2043769641,107819.0,1725539.0,127355.0,117767.0,144258.0,2731,AnnealingEpsGreedyCountAgent,0.95,0.016714,0.306228,5529,0.0223101,1,ReplayBuffer,,0,0,5000,1,1,1,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c6,5,414837.0,251116.85169757126,112302.87013830055,194033.0,809038.0,333847.0,232140.0,505127.0,4494,AnnealingEpsGreedyCountAgent,0.95,0.0242537,0.905717,230,0.00809169,1,ReplayBuffer,,0,0,5000,1,1,3,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c59,5,408470.6,362019.3083073056,161899.95650851793,96633.0,948789.0,307900.0,102906.0,586125.0,2956,AnnealingEpsGreedyCountAgent,0.95,0.0727492,0.404591,6468,0.00119809,1,ReplayBuffer,,0,0,5000,1,1,3,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c72,5,397783.6,471054.5327425478,210661.99126434745,111583.0,1218630.0,163745.0,121160.0,373800.0,1768,AnnealingEpsGreedyCountAgent,0.95,0.0115396,0.445062,2397,0.00390674,1,ReplayBuffer,,0,0,5000,1,1,0,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c80,5,382200.6,241625.5654102024,108058.23787180688,206208.0,747910.0,237850.0,206304.0,512731.0,1069,AnnealingEpsGreedyCountAgent,0.95,0.0125318,0.94086,665,0.0116442,1,ReplayBuffer,,0,0,5000,1,1,2,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c21,5,372430.4,596561.4262314485,266790.38036154903,102649.0,1439583.0,105310.0,105160.0,109450.0,1806,AnnealingEpsGreedyCountAgent,0.95,0.0148943,0.812042,6095,0.00093787,1,ReplayBuffer,,0,0,5000,1,1,3,1,5000,1,True,0
