experiment_id,experiment_name,run_id,run_name,status,start_time,end_time,lifecycle_stage,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps,tag_group,tag_mlflow.runName,tag_mlflow.source.git.commit,tag_mlflow.source.name,tag_mlflow.source.type,tag_mlflow.user,metric_last100_train_disc_return_mean,metric_last100_train_return_mean,metric_train_disc_return_mean,metric_train_return_mean,artifact_uri
279628610299603195,navix_16x16_layout1,127663f8aa6544b7a10ca8245dcfe0e3,sweep_c84_seed_8,3,1770759230134,1770759278440,active,DQNAgent,,0.99,282104,0.0781935,0.609249,,,5.63767e-05,4.16094,,,1024,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,8,0,1000000,40,True,8,sweep_c84,sweep_c84_seed_8,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,6.409257569117699e-10,0.009999999776482582,0.00011703796189976856,0.028397565707564354,/home/lcruz1/mlruns/279628610299603195/127663f8aa6544b7a10ca8245dcfe0e3/artifacts
279628610299603195,navix_16x16_layout1,a0fd80d7ed3842c589957027008b90f0,sweep_c21_seed_3,4,1770758931544,1770758931975,active,DRMAgent,,0.99,,,,5,159,0.0262047,0.122711,1,0.01,128,8192,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,3,0,1000000,11,True,16,sweep_c21,sweep_c21_seed_3,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/279628610299603195/a0fd80d7ed3842c589957027008b90f0/artifacts
279628610299603195,navix_16x16_layout1,ebd6fd5385594cbfab86e534aa19ad76,sweep_c25_seed_7,4,1770758842282,1770758842742,active,DRMAgent,,0.99,,,,5,494,0.0878078,14.8036,1,0.01,256,65536,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,1024,1,7,0,1000000,21,True,16,sweep_c25,sweep_c25_seed_7,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/279628610299603195/ebd6fd5385594cbfab86e534aa19ad76/artifacts
279628610299603195,navix_16x16_layout1,b6f6cef37e46448eae9cf0e5828e6762,sweep_c35_seed_3,3,1770759125920,1770759164093,active,DQNAgent,,0.99,80342,0.0641337,0.564622,,,1.47447e-05,14.8315,,,128,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,64,1,3,0,1000000,37,True,2048,sweep_c35,sweep_c35_seed_3,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,5.790273149841596e-09,0.009999999776482582,1.2667937809851537e-09,0.004098360426723957,/home/lcruz1/mlruns/279628610299603195/b6f6cef37e46448eae9cf0e5828e6762/artifacts
279628610299603195,navix_16x16_layout1,0ad8c784b61e4db39e1b6b58d8190172,sweep_c41_seed_6,3,1770759248964,1770759289369,active,RMaxAgent,1.03736e-06,0.99,,,,,819,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,6,0,1000000,1,True,0,sweep_c41,sweep_c41_seed_6,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,5.067298116046004e-05,0.11999999731779099,0.0007585970452055335,0.09980430454015732,/home/lcruz1/mlruns/279628610299603195/0ad8c784b61e4db39e1b6b58d8190172/artifacts
279628610299603195,navix_16x16_layout1,2087f11e5973447798f943e1bf50cc47,sweep_c33_seed_3,3,1770759154177,1770759235899,active,DQNAgent,,0.99,307828,0.29909,0.454097,,,3.11797e-06,6.52519,,,256,32768,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,3,0,1000000,5,True,512,sweep_c33,sweep_c33_seed_3,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,1.3340941222850233e-05,0.019999999552965164,2.9332300982787274e-05,0.022357722744345665,/home/lcruz1/mlruns/279628610299603195/2087f11e5973447798f943e1bf50cc47/artifacts
279628610299603195,navix_16x16_layout1,9bd6afebb55845a097955583cc9c54c3,sweep_c68_seed_3,3,1770759138691,1770759159652,active,DQNAgent,,0.99,257302,0.0209907,0.819642,,,0.00538779,4.84178,,,16384,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,3,0,1000000,20,True,4096,sweep_c68,sweep_c68_seed_3,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,4.360272214398719e-06,0.010204081423580647,/home/lcruz1/mlruns/279628610299603195/9bd6afebb55845a097955583cc9c54c3/artifacts
279628610299603195,navix_16x16_layout1,64a51b637cad4e058cb3d7a985cdeee2,sweep_c2_seed_6,4,1770758834385,1770758834802,active,DRMAgent,,0.99,,,,5,51,0.202266,7.13493,1,0.01,2048,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,6,0,1000000,28,True,1024,sweep_c2,sweep_c2_seed_6,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/279628610299603195/64a51b637cad4e058cb3d7a985cdeee2/artifacts
279628610299603195,navix_16x16_layout1,b6ffa885c8d14ca09570a0ece62df147,sweep_c99_seed_0,4,1770759107828,1770759108300,active,DRMAgent,,0.99,,,,5,415,0.00184134,5.56811,1,0.01,2048,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,64,1,0,0,1000000,26,True,8,sweep_c99,sweep_c99_seed_0,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/279628610299603195/b6ffa885c8d14ca09570a0ece62df147/artifacts
279628610299603195,navix_16x16_layout1,4c5c29de699e40e2b61a3d7d2201abe4,sweep_c59_seed_2,4,1770758910878,1770758911387,active,DRMAgent,,0.99,,,,5,426,0.0683393,8.98918,1,0.01,128,4096,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,2,0,1000000,1,True,2048,sweep_c59,sweep_c59_seed_2,dee0f4f096d0cacfb58d77dddb0559f38818c66a,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/279628610299603195/4c5c29de699e40e2b61a3d7d2201abe4/artifacts
